"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Burrow (CIN)","27","39","69.2","251","6.4","5","1","1","3","11","0","0","1","30.1","30.1","99.4%"
"2","Jalen Hurts (PHI)","18","24","75.0","230","9.6","2","0","3","13","67","1","0","1","29.9","29.9","99.4%"
"3","Geno Smith (LV)","21","34","61.8","363","10.7","3","3","7","6","16","0","0","1","25.1","25.1","18.3%"
"4","Patrick Mahomes II (KC)","34","44","77.3","291","6.6","3","0","4","2","9","0","0","1","24.5","24.5","97.6%"
"5","Daniel Jones (IND)","20","26","76.9","174","6.7","2","0","2","7","54","1","1","1","24.4","24.4","7.7%"
"6","Lamar Jackson (BAL)","16","19","84.2","280","14.7","3","0","1","3","4","0","0","1","23.6","23.6","99.6%"
"7","Josh Allen (BUF)","25","39","64.1","235","6.0","3","1","1","2","7","0","0","1","23.1","23.1","99.7%"
"8","Trevor Lawrence (JAC)","16","31","51.6","169","5.5","0","2","2","5","8","2","0","1","21.6","21.6","41.6%"
"9","Sam Darnold (SEA)","28","34","82.4","290","8.5","3","2","4","4","14","0","1","1","21.0","21.0","17.8%"
"10","Aaron Rodgers (PIT)","22","32","68.8","211","6.6","3","0","2","1","-1","0","0","1","20.3","20.3","15.4%"
"11","Jayden Daniels (WAS)","15","22","68.2","209","9.5","2","0","0","8","35","0","0","1","19.9","19.9","99.6%"
"12","Justin Herbert (LAC)","18","27","66.7","282","10.4","2","0","6","3","2","0","0","1","19.5","19.5","84.6%"
"13","Matthew Stafford (LAR)","25","44","56.8","298","6.8","2","1","0","1","0","0","0","1","18.9","18.9","28.7%"
"14","Mason Rudolph (PIT)","20","33","60.6","240","7.3","2","1","1","4","19","0","0","1","18.5","18.5","1.7%"
"15","Baker Mayfield (TB)","23","31","74.2","200","6.5","2","0","2","4","20","0","0","1","18.0","18.0","95.5%"
"16","Kirk Cousins (ATL)","19","24","79.2","222","9.3","3","0","2","4","-11","0","1","1","17.8","17.8","4.1%"
"17","Bo Nix (DEN)","19","33","57.6","223","6.8","0","1","4","6","36","0","0","1","17.7","17.7","93.5%"
"18","Drake Maye (NE)","29","41","70.7","206","5.0","1","2","4","8","95","0","1","1","17.7","17.7","71.0%"
"19","Tua Tagovailoa (MIA)","25","28","89.3","231","8.3","2","0","1","2","3","0","0","1","17.5","17.5","28.9%"
