"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","23","30","76.7","263","8.8","4","0","0","6","44","0","0","1","30.9","30.9","99.7%"
"2","Dak Prescott (DAL)","28","51","54.9","379","7.4","2","0","3","2","7","1","0","1","29.9","29.9","81.6%"
"3","Jayden Daniels (WAS)","21","23","91.3","254","11.0","2","0","2","12","39","1","0","1","28.1","28.1","99.6%"
"4","Lamar Jackson (BAL)","12","15","80.0","182","12.1","1","0","0","14","87","1","0","1","26.0","26.0","99.6%"
"5","Brock Purdy (SF)","22","30","73.3","292","9.7","3","0","1","10","41","0","1","1","25.8","25.8","88.3%"
"6","Joe Burrow (CIN)","29","38","76.3","324","8.5","3","0","2","1","4","0","0","1","25.4","25.4","99.4%"
"7","Malik Willis (GB)","13","19","68.4","202","10.6","1","0","3","6","73","1","0","1","25.4","25.4","2.0%"
"8","Andy Dalton (CAR)","26","37","70.3","319","8.6","3","0","2","2","-2","0","0","1","24.6","24.6","0.7%"
"9","Sam Darnold (SEA)","17","28","60.7","181","6.5","4","0","4","0","0","0","0","1","23.2","23.2","17.8%"
"10","Aaron Rodgers (PIT)","27","35","77.1","281","8.0","2","0","2","3","18","0","0","1","21.0","21.0","15.4%"
"11","Daniel Jones (IND)","24","34","70.6","236","6.9","2","0","2","8","20","0","0","1","19.4","19.4","7.7%"
"12","Justin Fields (NYJ)","25","32","78.1","245","7.7","1","1","2","6","6","1","0","1","19.4","19.4","74.9%"
"13","Bo Nix (DEN)","25","36","69.4","216","6.0","0","0","0","9","47","1","0","1","19.3","19.3","93.5%"
"14","Caleb Williams (CHI)","33","52","63.5","363","7.0","2","2","4","1","8","0","1","1","19.3","19.3","75.6%"
"15","Patrick Mahomes II (KC)","26","39","66.7","217","5.6","2","1","0","6","17","0","0","1","17.4","17.4","97.6%"
"16","Deshaun Watson (CLE)","21","37","56.8","196","5.3","2","0","8","4","26","0","2","1","16.4","16.4","1.1%"
"17","Kyler Murray (ARI)","21","34","61.8","207","6.1","1","1","1","5","45","0","0","1","15.8","15.8","88.8%"
"18","Will Levis (TEN)","26","34","76.5","260","7.6","2","2","8","3","12","0","1","1","15.6","15.6","1.2%"
"19","Jared Goff (DET)","18","23","78.3","199","8.7","2","1","2","3","6","0","0","1","15.6","15.6","81.5%"
"20","Gardner Minshew II (KC)","18","28","64.3","214","7.6","1","1","2","3","14","0","0","1","15.0","15.0","1.2%"
"21","Geno Smith (LV)","26","34","76.5","289","8.5","1","2","3","2","-2","0","0","1","13.4","13.4","18.3%"
"22","Matthew Stafford (LAR)","16","25","64.0","221","8.8","1","0","3","0","0","0","0","1","12.8","12.8","28.7%"
"23","Kirk Cousins (ATL)","20","29","69.0","230","7.9","1","1","2","1","-1","0","0","1","12.1","12.1","4.1%"
"24","Jalen Hurts (PHI)","29","38","76.3","311","8.2","0","1","4","8","25","0","1","1","11.9","11.9","99.4%"
"25","C.J. Stroud (HOU)","20","31","64.5","215","6.9","1","2","4","3","12","0","0","1","11.8","11.8","69.5%"
"26","Trevor Lawrence (JAC)","21","38","55.3","178","4.7","1","1","4","2","3","0","0","1","10.4","10.4","41.6%"
"27","Baker Mayfield (TB)","25","33","75.8","163","4.9","1","1","7","0","0","0","0","1","9.5","9.5","95.5%"
"28","Derek Carr (FA)","14","25","56.0","142","5.7","1","1","1","2","3","0","0","1","9.0","9.0","1.1%"
"29","Justin Herbert (LAC)","12","18","66.7","125","6.9","1","0","2","1","0","0","0","1","9.0","9.0","84.6%"
"30","Aidan O'Connell (LV)","9","12","75.0","82","6.8","1","0","1","0","0","0","0","1","7.3","7.3","1.0%"
"31","Anthony Richardson Sr. (IND)","10","20","50.0","167","8.4","0","2","1","8","24","0","0","1","7.1","7.1","16.1%"
"32","Skylar Thompson (PIT)","13","19","68.4","107","5.6","0","0","5","0","0","0","0","1","4.3","4.3","3.8%"
"33","Jacoby Brissett (ARI)","12","18","66.7","98","5.4","0","0","5","0","0","0","0","1","3.9","3.9","0.6%"
"34","Tim Boyle (FA)","7","13","53.8","79","6.1","0","0","1","1","6","0","0","1","3.8","3.8","0.0%"
"35","Davis Mills (HOU)","7","12","58.3","79","6.6","0","0","1","0","0","0","0","1","3.2","3.2","0.6%"
"36","Drake Maye (NE)","4","8","50.0","22","2.8","0","0","2","2","12","0","0","1","2.1","2.1","71.0%"
"37","Taylor Heinicke (LAC)","2","2","100.0","24","12.0","0","0","3","0","0","0","0","1","1.0","1.0","1.0%"
"38","Jameis Winston (NYG)","0","0","0","0","0","0","0","0","2","1","0","0","1","0.1","0.1","2.3%"
"39","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"40","Bryce Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.6%"
"41","Kenny Pickett (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"42","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"43","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Sam Howell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"45","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"46","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"47","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"48","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
"49","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.1%"
"52","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"53","Dorian Thompson-Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"54","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Trey Lance (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"56","Desmond Ridder (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"57","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"58","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Ben DiNucci (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"61","Dillon Gabriel (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"62","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
